Station,DMS,DMSPd,DMSPp,DMSOd,DMSOp,Temperature,salinity,NOx-N,SiO3-Si,PO4-P,chl-a
E87-36,4.74224,0.58694,3.72277,0.53374,0.01134,29.1832,33.5609,0.4,0.47143,0.15931,0.40698
E87-28,9.27548,0.65557,9.54273,1.18104,0.13375,28.4453,34.6434,0.89286,0.94286,0.26961,0.75627
EQ-02,7.29513,0.03401,1.76996,0.41675,0.02327,29.0213,34.5736,0.26429,0.62857,0.18382,0.68819
E80-02,10.46768,0.2456,1.50648,1.07129,1.21263,28.9446,34.7575,0.37857,0.17143,0.31863,0.41283
E80-05,9.08608,0.193,0.01459,0.44924,0.1679,29.2681,34.775,1.60714,0.35357,0.23284,0.24453
E87-22,6.56619,0.49504,0.37423,0.31612,0.08183,29.1612,34.9736,0.97857,0.35,0.18382,0.51878
E87-18    ,4.24528,1.22262,0.06657,0.17568,1.04285,29.2676,34.2391,0.22857,0.425,0.19608,0.46519
E87-14,0.07426,0.37017,0.5432,0.24088,0.065,29.1838,34.2461,0.47143,0.32857,0.20833,0.22368
EQ-07,8.08545,0.07078,10.0756,1.48564,0.23213,29.1646,34.7366,0.57857,0.43571,0.14706,0.25574
EQ-09,6.47407,0.31701,5.40748,0.63555,0.31282,29.2095,34.5118,2.17857,1.01429,0.1348,0.41782
EI-03,7.87212,0.29266,3.67964,0.26362,1.74557,28.7221,33.4335,0.23571,0.11071,0.1348,0.29049
E87-07,0.08667,0.10904,0.58074,0.02349,0.01236,28.08,34.1772,1.37143,0.98571,0.14706,0.23983
E87-01,0.29842,0.0688,2.94823,0.35247,0.02992,26.0085,34.536,0.16429,0.89643,0.18382,0.1703
