Station,DMS,DMSPd,DMSPp,DMSOd,DMSOp,Temperature,salinity,NOx-N,SiO3-Si,PO4-P,chl-a
E87-36,0.01319,0.0941,1.36042,0.85207,0.48943,15.8113,34.934,17.95714,17.13571,1.85049,0.09368
E87-28,0.00143,0.13505,0.26169,0.48821,0.03667,16.2123,35.0122,9.27143,8.53214,1.25,0.01944
E80-10,0.02712,0.01806,0.00599,2.34266,4.33087,16.1701,35.1636,11.05714,9.09643,2.13235,0.03311
EQ-02,0.32217,0.09541,0.00219,0.15554,0.00686,15.8402,35.1808,10.85714,8.32857,2.3652,0.02342
E80-02,4.39578,0.08524,0.02352,0.79899,4.37286,17.2319,35.1516,7.44286,5.64643,1.75245,0.12993
E80-05,3.30893,0.04017,0.00833,0.57149,5.77261,17.4295,35.2139,6.52143,4.16429,1.78922,0.05309
EQ-04,0.0689,0.15667,0.01933,0.17568,0.54042,16.5032,35.1427,8.2,6.90714,2.19363,0.0212
E87-22,0.03161,0.20572,1.50854,1.08573,0.34948,15.4568,35.1299,8.46429,6.63929,1.92402,0.02273
E87-18    ,0.09622,0.02536,0.02024,0.71274,0.52257,16.9151,35.1545,9.90714,6.71429,1.80147,0.04569
EQ-07,0.0592,0.01559,0.04975,0.70153,1.48537,16.7768,35.16,8.39286,5.65714,1.44608,0.05042
EQ-09,0.08754,0.05909,0.04025,0.24838,0.01207,17.8574,35.1828,8.88571,6.46071,1.44608,0.06828
E87-11,1.29273,0.1804,0.05504,0.68981,0.05822,15.5842,34.9265,12.57857,13.51071,2.38971,0.02896
E87-07,0.16884,0.16011,0.1095,0.06997,0.00184,19.0917,34.9549,12.79286,9.46429,1.53186,0.0664
E87-01,0.11118,0.2454,0.0407,0.09464,0.00172,17.8546,35.427,8.60714,5.27857,1.45833,0.0171
